,season,week,home_team,home_points,away_team,away_points,winner,first_name,last_name,coach
0,2000,2,Notre Dame,24,Texas A&M,10,Notre Dame,Bob,Davie,Bob Davie
1,2000,3,Notre Dame,24,Nebraska,27,Nebraska,Bob,Davie,Bob Davie
2,2000,4,Notre Dame,23,Purdue,21,Notre Dame,Bob,Davie,Bob Davie
3,2000,5,Michigan State,27,Notre Dame,21,Michigan State,Bob,Davie,Bob Davie
4,2000,7,Notre Dame,20,Stanford,14,Notre Dame,Bob,Davie,Bob Davie
5,2000,8,Notre Dame,45,Navy,14,Notre Dame,Bob,Davie,Bob Davie
6,2000,9,West Virginia,28,Notre Dame,42,Notre Dame,Bob,Davie,Bob Davie
7,2000,10,Notre Dame,34,Air Force,31,Notre Dame,Bob,Davie,Bob Davie
8,2000,12,Notre Dame,28,Boston College,16,Notre Dame,Bob,Davie,Bob Davie
9,2000,13,Rutgers,17,Notre Dame,45,Notre Dame,Bob,Davie,Bob Davie
10,2000,14,USC,21,Notre Dame,38,Notre Dame,Bob,Davie,Bob Davie
11,2001,3,Nebraska,27,Notre Dame,10,Nebraska,Bob,Davie,Bob Davie
12,2001,5,Notre Dame,10,Michigan State,17,Michigan State,Bob,Davie,Bob Davie
13,2001,6,Texas A&M,24,Notre Dame,3,Texas A&M,Bob,Davie,Bob Davie
14,2001,7,Notre Dame,24,Pittsburgh,7,Notre Dame,Bob,Davie,Bob Davie
15,2001,8,Notre Dame,34,West Virginia,24,Notre Dame,Bob,Davie,Bob Davie
16,2001,9,Notre Dame,27,USC,16,Notre Dame,Bob,Davie,Bob Davie
17,2001,10,Boston College,21,Notre Dame,17,Boston College,Bob,Davie,Bob Davie
18,2001,11,Notre Dame,18,Tennessee,28,Tennessee,Bob,Davie,Bob Davie
19,2001,13,Notre Dame,34,Navy,16,Notre Dame,Bob,Davie,Bob Davie
20,2001,14,Stanford,17,Notre Dame,13,Stanford,Bob,Davie,Bob Davie
21,2001,15,Purdue,18,Notre Dame,24,Notre Dame,Bob,Davie,Bob Davie
22,2002,2,Maryland,0,Notre Dame,22,Notre Dame,Tyrone,Willingham,Tyrone Willingham
23,2002,3,Notre Dame,24,Purdue,17,Notre Dame,Tyrone,Willingham,Tyrone Willingham
24,2002,4,Notre Dame,25,Michigan,23,Notre Dame,Tyrone,Willingham,Tyrone Willingham
25,2002,5,Michigan State,17,Notre Dame,21,Notre Dame,Tyrone,Willingham,Tyrone Willingham
