<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Notre Dame , 0 , 0 , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Nebraska , 23 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 21 , FBS Independents , 2000 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Michigan State , 2000 , FBS Independents , 16 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
<s> Bob Davie , Notre Dame , 25 , FBS Independents , 2000 </s>
