<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 0 , 0 , 14 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Nebraska , 23 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Notre Dame , 21 , FBS Independents , 2 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Michigan State , 16 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 25 , FBS Independents , 6 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 31 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 20 , FBS Independents , 14 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
<s> 2000 , Bob Davie , Notre Dame , 19 , FBS Independents , 3 </s>
