,season,week,home_team,home_points,away_team,away_points,winner,first_name,last_name,coach,rank,conference
0,2000,2,Notre Dame,24,Texas A&M,10,Notre Dame,Bob,Davie,Bob Davie,0,0
1,2000,3,Notre Dame,24,Nebraska,27,Nebraska,Bob,Davie,Bob Davie,23,FBS Independents
2,2000,4,Notre Dame,23,Purdue,21,Notre Dame,Bob,Davie,Bob Davie,21,FBS Independents
3,2000,5,Michigan State,27,Notre Dame,21,Michigan State,Bob,Davie,Bob Davie,16,FBS Independents
4,2000,7,Notre Dame,20,Stanford,14,Notre Dame,Bob,Davie,Bob Davie,25,FBS Independents
5,2000,8,Notre Dame,45,Navy,14,Notre Dame,Bob,Davie,Bob Davie,20,FBS Independents
6,2000,9,West Virginia,28,Notre Dame,42,Notre Dame,Bob,Davie,Bob Davie,20,FBS Independents
7,2000,10,Notre Dame,34,Air Force,31,Notre Dame,Bob,Davie,Bob Davie,19,FBS Independents
8,2000,12,Notre Dame,28,Boston College,16,Notre Dame,Bob,Davie,Bob Davie,11,FBS Independents
9,2000,13,Rutgers,17,Notre Dame,45,Notre Dame,Bob,Davie,Bob Davie,11,FBS Independents
10,2000,14,USC,21,Notre Dame,38,Notre Dame,Bob,Davie,Bob Davie,11,FBS Independents
11,2001,3,Nebraska,27,Notre Dame,10,Nebraska,Bob,Davie,Bob Davie,17,FBS Independents
12,2001,5,Notre Dame,10,Michigan State,17,Michigan State,Bob,Davie,Bob Davie,0,0
13,2001,6,Texas A&M,24,Notre Dame,3,Texas A&M,Bob,Davie,Bob Davie,0,0
14,2001,7,Notre Dame,24,Pittsburgh,7,Notre Dame,Bob,Davie,Bob Davie,0,0
15,2001,8,Notre Dame,34,West Virginia,24,Notre Dame,Bob,Davie,Bob Davie,0,0
16,2001,9,Notre Dame,27,USC,16,Notre Dame,Bob,Davie,Bob Davie,0,0
17,2001,10,Boston College,21,Notre Dame,17,Boston College,Bob,Davie,Bob Davie,0,0
18,2001,11,Notre Dame,18,Tennessee,28,Tennessee,Bob,Davie,Bob Davie,0,0
19,2001,13,Notre Dame,34,Navy,16,Notre Dame,Bob,Davie,Bob Davie,0,0
20,2001,14,Stanford,17,Notre Dame,13,Stanford,Bob,Davie,Bob Davie,0,0
21,2001,15,Purdue,18,Notre Dame,24,Notre Dame,Bob,Davie,Bob Davie,0,0
22,2002,2,Maryland,0,Notre Dame,22,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
23,2002,3,Notre Dame,24,Purdue,17,Notre Dame,Tyrone,Willingham,Tyrone Willingham,23,FBS Independents
24,2002,4,Notre Dame,25,Michigan,23,Notre Dame,Tyrone,Willingham,Tyrone Willingham,20,FBS Independents
25,2002,5,Michigan State,17,Notre Dame,21,Notre Dame,Tyrone,Willingham,Tyrone Willingham,12,FBS Independents
26,2002,7,Notre Dame,31,Stanford,7,Notre Dame,Tyrone,Willingham,Tyrone Willingham,9,FBS Independents
27,2002,8,Notre Dame,14,Pittsburgh,6,Notre Dame,Tyrone,Willingham,Tyrone Willingham,8,FBS Independents
28,2002,9,Air Force,14,Notre Dame,21,Notre Dame,Tyrone,Willingham,Tyrone Willingham,7,FBS Independents
29,2002,10,Florida State,24,Notre Dame,34,Notre Dame,Tyrone,Willingham,Tyrone Willingham,6,FBS Independents
30,2002,11,Notre Dame,7,Boston College,14,Boston College,Tyrone,Willingham,Tyrone Willingham,4,FBS Independents
31,2002,12,Navy,23,Notre Dame,30,Notre Dame,Tyrone,Willingham,Tyrone Willingham,9,FBS Independents
32,2002,14,Notre Dame,42,Rutgers,0,Notre Dame,Tyrone,Willingham,Tyrone Willingham,8,FBS Independents
33,2002,15,USC,44,Notre Dame,13,USC,Tyrone,Willingham,Tyrone Willingham,7,FBS Independents
34,2003,3,Notre Dame,29,Washington State,26,Notre Dame,Tyrone,Willingham,Tyrone Willingham,19,FBS Independents
35,2003,4,Michigan,38,Notre Dame,0,Michigan,Tyrone,Willingham,Tyrone Willingham,15,FBS Independents
36,2003,5,Notre Dame,16,Michigan State,22,Michigan State,Tyrone,Willingham,Tyrone Willingham,0,0
37,2003,6,Purdue,23,Notre Dame,10,Purdue,Tyrone,Willingham,Tyrone Willingham,0,0
38,2003,8,Pittsburgh,14,Notre Dame,20,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
39,2003,9,Notre Dame,14,USC,45,USC,Tyrone,Willingham,Tyrone Willingham,0,0
40,2003,10,Boston College,27,Notre Dame,25,Boston College,Tyrone,Willingham,Tyrone Willingham,0,0
41,2003,11,Notre Dame,0,Florida State,37,Florida State,Tyrone,Willingham,Tyrone Willingham,0,0
42,2003,12,Notre Dame,27,Navy,24,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
43,2003,13,Notre Dame,33,BYU,14,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
44,2003,15,Stanford,7,Notre Dame,57,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
45,2004,2,BYU,20,Notre Dame,17,BYU,Tyrone,Willingham,Tyrone Willingham,0,0
46,2004,3,Notre Dame,28,Michigan,20,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
47,2004,4,Michigan State,24,Notre Dame,31,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
48,2004,5,Notre Dame,38,Washington,3,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
49,2004,6,Notre Dame,16,Purdue,41,Purdue,Tyrone,Willingham,Tyrone Willingham,0,0
50,2004,7,Notre Dame,23,Stanford,15,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
51,2004,8,Navy,9,Notre Dame,27,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
52,2004,9,Notre Dame,23,Boston College,24,Boston College,Tyrone,Willingham,Tyrone Willingham,24,FBS Independents
53,2004,11,Tennessee,13,Notre Dame,17,Notre Dame,Tyrone,Willingham,Tyrone Willingham,0,0
54,2004,12,Notre Dame,38,Pittsburgh,41,Pittsburgh,Tyrone,Willingham,Tyrone Willingham,24,FBS Independents
55,2004,14,USC,41,Notre Dame,10,USC,Tyrone,Willingham,Tyrone Willingham,0,0
56,2005,1,Pittsburgh,21,Notre Dame,42,Notre Dame,Charlie,Weis,Charlie Weis,0,0
57,2005,2,Michigan,10,Notre Dame,17,Notre Dame,Charlie,Weis,Charlie Weis,20,FBS Independents
58,2005,3,Notre Dame,41,Michigan State,44,Michigan State,Charlie,Weis,Charlie Weis,10,FBS Independents
59,2005,4,Washington,17,Notre Dame,36,Notre Dame,Charlie,Weis,Charlie Weis,16,FBS Independents
60,2005,5,Purdue,28,Notre Dame,49,Notre Dame,Charlie,Weis,Charlie Weis,13,FBS Independents
61,2005,7,Notre Dame,31,USC,34,USC,Charlie,Weis,Charlie Weis,9,FBS Independents
62,2005,8,Notre Dame,49,BYU,23,Notre Dame,Charlie,Weis,Charlie Weis,9,FBS Independents
63,2005,10,Notre Dame,41,Tennessee,21,Notre Dame,Charlie,Weis,Charlie Weis,8,FBS Independents
64,2005,11,Notre Dame,42,Navy,21,Notre Dame,Charlie,Weis,Charlie Weis,7,FBS Independents
65,2005,12,Notre Dame,34,Syracuse,10,Notre Dame,Charlie,Weis,Charlie Weis,6,FBS Independents
66,2005,13,Stanford,31,Notre Dame,38,Notre Dame,Charlie,Weis,Charlie Weis,6,FBS Independents
67,2006,1,Georgia Tech,10,Notre Dame,14,Notre Dame,Charlie,Weis,Charlie Weis,2,FBS Independents
68,2006,2,Notre Dame,41,Penn State,17,Notre Dame,Charlie,Weis,Charlie Weis,4,FBS Independents
69,2006,3,Notre Dame,21,Michigan,47,Michigan,Charlie,Weis,Charlie Weis,2,FBS Independents
70,2006,4,Michigan State,37,Notre Dame,40,Notre Dame,Charlie,Weis,Charlie Weis,12,FBS Independents
71,2006,5,Notre Dame,35,Purdue,21,Notre Dame,Charlie,Weis,Charlie Weis,12,FBS Independents
72,2006,6,Notre Dame,31,Stanford,10,Notre Dame,Charlie,Weis,Charlie Weis,12,FBS Independents
73,2006,8,Notre Dame,20,UCLA,17,Notre Dame,Charlie,Weis,Charlie Weis,10,FBS Independents
74,2006,9,Navy,14,Notre Dame,38,Notre Dame,Charlie,Weis,Charlie Weis,11,FBS Independents
75,2006,10,Notre Dame,45,North Carolina,26,Notre Dame,Charlie,Weis,Charlie Weis,11,FBS Independents
76,2006,11,Air Force,17,Notre Dame,39,Notre Dame,Charlie,Weis,Charlie Weis,9,FBS Independents
77,2006,12,Notre Dame,41,Army,9,Notre Dame,Charlie,Weis,Charlie Weis,6,FBS Independents
78,2006,13,USC,44,Notre Dame,24,USC,Charlie,Weis,Charlie Weis,6,FBS Independents
79,2007,1,Notre Dame,3,Georgia Tech,33,Georgia Tech,Charlie,Weis,Charlie Weis,0,0
80,2007,2,Penn State,31,Notre Dame,10,Penn State,Charlie,Weis,Charlie Weis,0,0
81,2007,3,Michigan,38,Notre Dame,0,Michigan,Charlie,Weis,Charlie Weis,0,0
82,2007,4,Notre Dame,14,Michigan State,31,Michigan State,Charlie,Weis,Charlie Weis,0,0
83,2007,5,Purdue,33,Notre Dame,19,Purdue,Charlie,Weis,Charlie Weis,0,0
84,2007,6,UCLA,6,Notre Dame,20,Notre Dame,Charlie,Weis,Charlie Weis,0,0
85,2007,7,Notre Dame,14,Boston College,27,Boston College,Charlie,Weis,Charlie Weis,0,0
86,2007,8,Notre Dame,0,USC,38,USC,Charlie,Weis,Charlie Weis,0,0
87,2007,10,Notre Dame,44,Navy,46,Navy,Charlie,Weis,Charlie Weis,0,0
88,2007,11,Notre Dame,24,Air Force,41,Air Force,Charlie,Weis,Charlie Weis,0,0
89,2007,12,Notre Dame,28,Duke,7,Notre Dame,Charlie,Weis,Charlie Weis,0,0
90,2007,13,Stanford,14,Notre Dame,21,Notre Dame,Charlie,Weis,Charlie Weis,0,0
91,2008,2,Notre Dame,21,San Diego State,13,Notre Dame,Charlie,Weis,Charlie Weis,0,0
92,2008,3,Notre Dame,35,Michigan,17,Notre Dame,Charlie,Weis,Charlie Weis,0,0
93,2008,4,Michigan State,23,Notre Dame,7,Michigan State,Charlie,Weis,Charlie Weis,0,0
94,2008,5,Notre Dame,38,Purdue,21,Notre Dame,Charlie,Weis,Charlie Weis,0,0
95,2008,6,Notre Dame,28,Stanford,21,Notre Dame,Charlie,Weis,Charlie Weis,0,0
96,2008,7,North Carolina,29,Notre Dame,24,North Carolina,Charlie,Weis,Charlie Weis,0,0
97,2008,9,Washington,7,Notre Dame,33,Notre Dame,Charlie,Weis,Charlie Weis,0,0
98,2008,10,Notre Dame,33,Pittsburgh,36,Pittsburgh,Charlie,Weis,Charlie Weis,0,0
99,2008,11,Boston College,17,Notre Dame,0,Boston College,Charlie,Weis,Charlie Weis,0,0
100,2008,12,Navy,21,Notre Dame,27,Notre Dame,Charlie,Weis,Charlie Weis,0,0
101,2008,13,Notre Dame,23,Syracuse,24,Syracuse,Charlie,Weis,Charlie Weis,0,0
102,2008,14,USC,38,Notre Dame,3,USC,Charlie,Weis,Charlie Weis,0,0
103,2009,1,Notre Dame,35,Nevada,0,Notre Dame,Charlie,Weis,Charlie Weis,23,FBS Independents
104,2009,2,Michigan,38,Notre Dame,34,Michigan,Charlie,Weis,Charlie Weis,18,FBS Independents
105,2009,3,Notre Dame,33,Michigan State,30,Notre Dame,Charlie,Weis,Charlie Weis,0,0
106,2009,4,Purdue,21,Notre Dame,24,Notre Dame,Charlie,Weis,Charlie Weis,0,0
107,2009,5,Notre Dame,37,Washington,30,Notre Dame,Charlie,Weis,Charlie Weis,0,0
108,2009,7,Notre Dame,27,USC,34,USC,Charlie,Weis,Charlie Weis,25,FBS Independents
109,2009,8,Notre Dame,20,Boston College,16,Notre Dame,Charlie,Weis,Charlie Weis,0,0
110,2009,9,Notre Dame,40,Washington State,14,Notre Dame,Charlie,Weis,Charlie Weis,25,FBS Independents
111,2009,10,Notre Dame,21,Navy,23,Navy,Charlie,Weis,Charlie Weis,19,FBS Independents
112,2009,11,Pittsburgh,27,Notre Dame,22,Pittsburgh,Charlie,Weis,Charlie Weis,0,0
113,2009,12,Notre Dame,30,Connecticut,33,Connecticut,Charlie,Weis,Charlie Weis,0,0
114,2009,13,Stanford,45,Notre Dame,38,Stanford,Charlie,Weis,Charlie Weis,0,0
115,2010,1,Notre Dame,23,Purdue,12,Notre Dame,Brian,Kelly,Brian Kelly,0,0
116,2010,2,Notre Dame,24,Michigan,28,Michigan,Brian,Kelly,Brian Kelly,0,0
117,2010,3,Michigan State,34,Notre Dame,31,Michigan State,Brian,Kelly,Brian Kelly,0,0
118,2010,4,Notre Dame,14,Stanford,37,Stanford,Brian,Kelly,Brian Kelly,0,0
119,2010,5,Boston College,13,Notre Dame,31,Notre Dame,Brian,Kelly,Brian Kelly,0,0
120,2010,6,Notre Dame,23,Pittsburgh,17,Notre Dame,Brian,Kelly,Brian Kelly,0,0
121,2010,7,Notre Dame,44,Western Michigan,20,Notre Dame,Brian,Kelly,Brian Kelly,0,0
122,2010,8,Navy,35,Notre Dame,17,Navy,Brian,Kelly,Brian Kelly,0,0
123,2010,9,Notre Dame,27,Tulsa,28,Tulsa,Brian,Kelly,Brian Kelly,0,0
124,2010,11,Notre Dame,28,Utah,3,Notre Dame,Brian,Kelly,Brian Kelly,0,0
125,2010,12,Notre Dame,27,Army,3,Notre Dame,Brian,Kelly,Brian Kelly,0,0
126,2010,13,USC,16,Notre Dame,20,Notre Dame,Brian,Kelly,Brian Kelly,0,0
127,2011,1,Notre Dame,20,South Florida,23,South Florida,Brian,Kelly,Brian Kelly,16,FBS Independents
128,2011,2,Michigan,35,Notre Dame,31,Michigan,Brian,Kelly,Brian Kelly,0,0
129,2011,3,Notre Dame,31,Michigan State,13,Notre Dame,Brian,Kelly,Brian Kelly,0,0
130,2011,4,Pittsburgh,12,Notre Dame,15,Notre Dame,Brian,Kelly,Brian Kelly,0,0
131,2011,5,Purdue,10,Notre Dame,38,Notre Dame,Brian,Kelly,Brian Kelly,0,0
132,2011,6,Notre Dame,59,Air Force,33,Notre Dame,Brian,Kelly,Brian Kelly,0,0
133,2011,8,Notre Dame,17,USC,31,USC,Brian,Kelly,Brian Kelly,0,0
134,2011,9,Notre Dame,56,Navy,14,Notre Dame,Brian,Kelly,Brian Kelly,0,0
135,2011,10,Wake Forest,17,Notre Dame,24,Notre Dame,Brian,Kelly,Brian Kelly,0,0
136,2011,11,Notre Dame,45,Maryland,21,Notre Dame,Brian,Kelly,Brian Kelly,0,0
